winning_img_merchant,contactid,asin,is_index_suppressed,has_leaf_node,has_keywords,bullet_point_count,qty_website_images,has_description,idq_grade,reporting_country
11469992815,0033600001jiPmYAAU,B083ZK3T7C,1,1,0,0,7,0,E,MY
36112501005,0031R00002BaBiQQAV,B09HL4XXSY,0,1,1,0,5,1,B,SG
64666887402,0033600001rzD2XAAU,B09SG1ZC2D,0,1,1,5,3,0,B,SG
12944624102,0031R00001uOEcPQAW,B09PLMK8RH,0,1,0,5,4,1,B,SG
2.77799E+11,0033g00000Fo8K3AAJ,B095XX7F33,0,0,1,5,9,1,B,MY
1.90956E+11,0033g000007fQihAAE,B08FXH7N1C,0,0,1,3,5,1,C,SG
2.85864E+11,0033g00000zVCYGAA4,B09NMGMCJY,0,1,0,3,7,0,D,MY
1742036661,0033g00000Jf3slAAB,B08S6QG5Y1,0,0,1,0,7,1,D,SG
1.25017E+11,0031R000029kWdNQAU,B07YX3PR88,0,0,1,5,9,1,B,SG
2.40324E+11,0033g000009i0W9AAI,B09KV1K1WZ,0,1,1,0,4,1,B,PH
33701273402,0033600001kXs8gAAC,B09LLXCYWK,0,1,0,5,7,0,C,MY
1811943221,0033g000009gPBLAA2,B08T93SNTC,0,1,0,0,7,1,C,SG
2.77799E+11,0033g00000Fo8K3AAJ,B08QTSHN27,0,0,1,5,6,1,B,MY
1.20334E+11,0031R000028MppTQAS,B07W483Q6L,0,0,1,5,7,1,B,MY
1.94691E+11,0033g00000gD9rAAAS,B09433DCYM,1,1,1,5,6,1,F,SG
3.92294E+11,0033g00000xeOmMAAU,B09R6L1J5Q,0,1,1,0,7,0,C,MY
1.27532E+11,0033g00000VQKxnAAH,B08TX1BKKX,0,1,1,5,8,0,B,SG
1.01477E+11,0031R000022UUgWQAW,B07R5PSMLS,0,0,1,5,7,1,B,MY
2.40324E+11,0033g000009i0W9AAI,B09R2884MK,1,1,0,0,4,0,F,PH
1.07671E+11,0031R000025a4VkQAI,B07XYCWXP8,1,1,1,5,7,1,F,SG
3.00743E+11,0033g00000Nh7MbAAJ,B09CDWP37K,0,0,1,5,9,1,B,MY
44996311902,0033600001csTcWAAU,B08XV4DW5S,0,1,1,0,7,1,B,SG
1882002441,0033g000007em8JAAQ,B0951PJH7Q,0,1,0,6,1,1,C,SG
49850403302,0033600001hgA9pAAE,B09NSM9YQB,0,1,1,3,3,1,B,SG
1.45554E+11,0031R00002EjqWcQAJ,B0855FJ38H,0,0,1,5,7,1,B,MY
2.43207E+11,0033g00000Ceee7AAB,B08HCK31W3,1,1,1,5,6,1,F,SG
1.67664E+11,0033g000005DOUmAAO,B08KP5BQTV,1,1,1,0,8,0,F,SG
3.92294E+11,0033g00000xeOmMAAU,B09P5BJ6D6,0,1,0,0,7,0,E,MY
1.37021E+11,0031R00002CS6OOQA1,B081X94NW6,0,1,1,0,5,1,B,SG
3.7858E+11,0033g00000vi3VnAAI,B09KG31K2H,1,1,1,0,9,0,C,SG
2.36731E+11,0033g000009msXzAAI,B093YDKLJB,0,1,1,6,6,0,B,PH
1.9312E+11,0033g000007w645AAA,B08FGCMX5M,0,0,1,5,7,1,B,SG
2.77799E+11,0033g00000Fo8K3AAJ,B08QVBGHSD,0,0,1,5,6,1,B,MY
1.32353E+11,0031R00002BZbdvQAD,B088DPGZM7,1,1,1,5,7,1,F,KH
1.9092E+11,0033g00000CfENZAA3,B08JKQD1NC,0,0,1,5,8,1,B,SG
77188992402,0031R00001w1kWBQAY,B08ND5K2L1,1,1,1,0,7,0,F,MY
1.89201E+11,0033g000009P3wLAAS,B091M6LSS7,0,0,1,5,8,1,B,SG
61090433302,0033600001pmgW6AAI,B07NW1TPDC,0,1,1,5,4,0,B,SG
4.28277E+11,0033g000014jDdsAAE,B09R97XB5Z,0,0,1,3,2,1,D,PH
1.49778E+11,0031R00002FeKhcQAF,B083MXFKWC,1,1,1,0,7,0,F,MY
1.53071E+11,0031R00002FhxdGQAR,B084ZTK1FJ,0,0,1,4,6,1,C,SG
2.21005E+11,0033g000008mnB3AAI,B08FRNVJPX,0,1,1,0,1,1,C,SG
1.32353E+11,0031R00002BZbdvQAD,B0824RSYVL,0,1,1,5,5,0,B,KH
12944624102,0031R00001uOEcPQAW,B09PLKLP7M,0,1,0,5,5,1,B,SG
1.85778E+11,0033g000006qnOnAAI,B089M47DVC,0,1,1,0,9,0,C,SG
3.77892E+11,0033g00000vh3E7AAI,B09GK43VB4,0,1,0,5,7,1,B,SG
46916098402,0033600001f2Kl6AAE,B08ZSBHHJR,0,1,1,2,8,0,C,SG
49850403302,0033600001hgA9pAAE,B08VRBY6LH,0,1,1,3,2,1,B,SG
3.89308E+11,0033g00000xb7Q7AAI,B09LXMXWZ7,0,1,1,0,1,1,C,SG
12944624102,0031R00001uOEcPQAW,B09PLLG6HL,0,1,0,5,4,1,B,SG
4.28277E+11,0033g000014jDdsAAE,B09R6PSSDS,0,0,1,3,2,1,D,PH
1.06357E+11,0031R000024uLEPQA2,B08132NF6F,0,0,1,5,7,1,B,MY
